"TIME (Europe/Istanbul)","binance","binance","bittrex","bittrex","bitfinex","bitfinex"
"2023-06-19 12:50:00",5.597200000000003,-61.13390000000001,0,0,0,-1.278153
"2023-06-19 12:51:00",22.013700000000004,-15.6228,0,0,0.921,0
"2023-06-19 12:52:00",16.6964,-2.969,0,0,0,-1.5231804999999998
"2023-06-19 12:53:00",11.676200000000001,-16.0722,0,0,0,0
"2023-06-19 12:54:00",11.467100000000006,-9.239999999999995,0,0,0.0717647,0
"2023-06-19 12:55:00",3.996799999999998,-34.26430000000001,0,0,0.00580663,-0.02466524
"2023-06-19 12:56:00",21.557499999999997,-3.109799999999999,0,0,0.01079064,-0.00778354
"2023-06-19 12:57:00",0,0,0,0,0,0
"2023-06-19 12:58:00",0,0,0,0,0,0
"2023-06-19 12:59:00",0,0,0,0,0,0
"2023-06-19 13:00:00",0,0,0,0,0,0
"2023-06-19 13:01:00",0,0,0,0,0,0
"2023-06-19 13:02:00",0,0,0,0,0,0
"2023-06-19 13:03:00",0,0,0,0,0,0
"2023-06-19 13:04:00",0,0,0,0,0,0
"2023-06-19 13:05:00",0,0,0,0,0,0
"2023-06-19 13:06:00",40.72970000000001,-6.424800000000002,0,0,0.25029766999999997,0
"2023-06-19 13:07:00",15.1748,-6.2354,0,0,0.00316568,0
"2023-06-19 13:08:00",15.036600000000002,-34.997699999999995,0,0,4.5,0
"2023-06-19 13:09:00",80.82070000000002,-92.96859999999998,0,0,0,0
"2023-06-19 13:10:00",12.275500000000006,-8.796100000000004,0,0,0.30566778,0
"2023-06-19 13:11:00",1013.9035000000008,-505.8153000000002,0,0,39.406769329999996,-0.006
"2023-06-19 13:12:00",19.468699999999995,-32.3867,0,0,0,0
"2023-06-19 13:13:00",25.547700000000006,-22.713499999999996,0,0,0,-0.0042130399999999995
"2023-06-19 13:14:00",93.644,-32.7416,0,0,0.10400000000000001,-0.004
"2023-06-19 13:15:00",14.263999999999996,-3.590099999999999,0,0,0,0
"2023-06-19 13:16:00",25.989400000000018,-55.66090000000001,0,0,0.00707802,0
"2023-06-19 13:17:00",171.11670000000007,-12.187999999999999,0,0,1.7357712,0
"2023-06-19 13:18:00",58.98610000000001,-26.719299999999997,0,0,0.13563139000000002,0
"2023-06-19 13:19:00",99.86380000000001,-32.7473,0,0,8.965089809999998,-0.01986372
"2023-06-19 13:20:00",19.774599999999992,-107.76759999999997,0,0,0.00615466,-0.40498649999999997
"2023-06-19 13:21:00",35.4064,-19.446100000000005,0,0,0.11443954,-3.2686823699999996
"2023-06-19 13:22:00",5.078199999999999,-62.96130000000001,0,0,0.00495022,-0.05
"2023-06-19 13:23:00",100.13610000000003,-19.244099999999985,0,0,0.23636320000000002,-0.01181859
"2023-06-19 13:24:00",4.5274,-28.592299999999998,0,0,0.1614695,-3.4910566000000003
"2023-06-19 13:25:00",6.7155000000000005,-62.870599999999996,0,0,3.54710434,0
"2023-06-19 13:26:00",2.2107000000000006,-6.760200000000001,0,-0.17600969,0.818757,0
"2023-06-19 13:27:00",30.846000000000004,-9.2856,0,0,0.45922397,0
"2023-06-19 13:28:00",11.6869,-34.36390000000001,0,0,0.010384,-0.21050000000000002
"2023-06-19 13:29:00",13.199699999999996,-3.854499999999999,0.1444022,0,0.1658638,0
"2023-06-19 13:30:00",7.851799999999999,-13.503100000000003,0,0,0,0
"2023-06-19 13:31:00",51.07360000000001,-1.2804,0,0,0.38480826999999995,0
"2023-06-19 13:32:00",29.1283,-6.198599999999998,0,0,1.559651,0
"2023-06-19 13:33:00",64.85550000000002,-6.7626,0,0,0.02499378,-0.01364753
"2023-06-19 13:34:00",13.523800000000001,-10.468999999999996,0,0,0,-0.10878529
"2023-06-19 13:35:00",25.34,-7.670200000000001,0.28883253,-0.00357698,0,-0.002
"2023-06-19 13:36:00",5.8936,-19.6433,0,0,0.08874971000000001,0
"2023-06-19 13:37:00",150.06890000000007,-19.4581,0,0,6.6170236,-0.004
"2023-06-19 13:38:00",2.8393,-6.150799999999999,0,0,0.07909627,0
"2023-06-19 13:39:00",31.3361,-252.28640000000013,0,0,0,-1.68018677
"2023-06-19 13:40:00",5.4296999999999995,-12.339799999999995,0,0,0,-0.004
"2023-06-19 13:41:00",117.49919999999996,-101.52100000000002,0,0,0.00956547,-0.041966
"2023-06-19 13:42:00",8.646899999999995,-5.1348,0,0,0.00316624,0
"2023-06-19 13:43:00",13.750900000000001,-16.357300000000002,0,0,0.00315609,0
"2023-06-19 13:44:00",7.3064,-4.6312,0,0,0,-0.002
"2023-06-19 13:45:00",29.9071,-35.2751,0,0,0,0
